0,100Meters,Running,Outdoor
1,200Meters,Running,Outdoor
2,400Meters,Running,Outdoor
3,800Meters,Running,Outdoor
4,1500Meters,Running,Outdoor
5,Mile,Running,Outdoor
6,5000Meters,Running,Outdoor
7,"10,000Meters",Running,Outdoor
8,400Hurdles,Running,Outdoor
9,4x100Relay,Running,Outdoor
10,4x400Relay,Running,Outdoor
11,LongJump,Field,Outdoor
12,TripleJump,Field,Outdoor
13,ShotPut,Field,Outdoor
14,Discus,Field,Outdoor
15,60Meters,Running,Indoor
16,200Meters,Running,Indoor
17,400Meters,Running,Indoor
18,600Meters,Running,Indoor
19,800Meters,Running,Indoor
20,1000Meters,Running,Indoor
21,Mile,Running,Indoor
22,3000Meters,Running,Indoor
23,5000Meters,Running,Indoor
24,4x200Relay,Running,Indoor
25,DistanceMedleyRelay,Running,Indoor
26,LongJump,Field,Indoor
27,TripleJump,Field,Indoor
28,ShotPut,Field,Indoor
29,4x800Relay,Running,Outdoor
30,55Meters,Running,Indoor
31,4x400Relay,Running,Indoor
32,110Hurdles,Running,Outdoor
33,3000Steeplechase,Running,Outdoor
34,55Hurdles,Running,Indoor
35,60Hurdles,Running,Indoor
36,Javelin,Field,Outdoor
37,HighJump,Field,Outdoor
38,PoleVault,Field,Outdoor
39,Hammer,Field,Outdoor
40,HighJump,Field,Indoor
41,PoleVault,Field,Indoor
42,WeightThrow,Field,Indoor
43,Heptathlon,Multi,Indoor
44,Decathlon,Multi,Outdoor
45,4x200Relay,Running,Outdoor
46,100Hurdles,Running,Outdoor
47,Pentathlon,Multi,Indoor
48,3000Meters,Running,Outdoor
49,Heptathlon,Multi,Outdoor
50,SprintMedleyRelay,Running,Outdoor
51,1500Meters,Running,Indoor
52,DistanceMedleyRelay,Running,Outdoor
53,300Meters,Running,Indoor
54,500Meters,Running,Indoor
55,ShuttleHurdleRelay,Running,Outdoor
