0,MIAC Outdoor Championships,"May 9, 2025"
1,Hamline Invitational - Teams,"Apr 5, 2025"
2,Janis Rider / Doug Bolstorff Invitational - Teams,"Apr 24, 2025"
3,Bethel Invitational,"Apr 12, 2025"
4,University of St. Thomas East Invite,"Apr 17, 2025"
5,Alan Connie Shamrock Invitational,"Mar 20, 2025"
6,Meet of the UnSaintly,"Apr 30, 2025"
7,Gary Wilson Invitational,"Apr 23, 2025"
8,MIAC Indoor Championships,"Feb 27, 2025"
9,Gopher Classic,"Feb 8, 2025"
10,CSB / SJU Invitational,"Feb 15, 2025"
11,Jack Johnson Classic,"Jan 24, 2025"
12,Mark Schuck Open and Multi,"Jan 31, 2025"
13,University of St. Thomas Indoor Invitational,"Jan 17, 2025"
14,Snowshoe Open,"Feb 21, 2025"
15,St Olaf Invitational and Multi-events,"Jan 24, 2025"
16,NCAA Division III Indoor Track & Field Championships,"Mar 14, 2025"
17,Janis Rider / Doug Bolstorff Invitational - Teams,"Apr 25, 2024"
18,Gary Wilson Invitational,"Apr 24, 2024"
19,St. Thomas Joe Sweeney Invitational,"May 1, 2024"
20,Meet of the UnSaintly,"May 3, 2024"
21,Hamline Invitational - Teams,"Apr 6, 2024"
22,Ross and Sharon Irwin Collegiate Track Meet,"Mar 16, 2024"
23,MIAC Outdoor Championships,"May 10, 2024"
24,Holst Invitational,"Apr 20, 2024"
25,Augustana College Midwest Final Qualifier,"May 15, 2024"
26,Phil Esten Challenge,"Apr 19, 2024"
27,Carleton Meet of Hearts,"Feb 10, 2024"
28,Vanessa Seljeskog Classic,"Jan 20, 2024"
29,Gopher Classic,"Feb 3, 2024"
30,St. Olaf Invitational and Multi Events,"Jan 26, 2024"
31,University of St. Thomas Opener,"Jan 12, 2024"
32,Snowshoe Open,"Feb 16, 2024"
33,MIAC Indoor Championships,"Feb 22, 2024"
34,Wartburg Qualifier,"Mar 1, 2024"
35,MIAC Outdoor Track & Field Championships,"May 12, 2023"
36,UWL Final Qualifier,"May 18, 2023"
37,Ross and Sharon Irwin meet,"Mar 18, 2023"
38,Running on Hope Invitational,"Apr 26, 2023"
39,Janis Rider / Doug Bolstorff Invitational,"Apr 27, 2023"
40,St Thomas Tomcat Invitational,"Apr 7, 2023"
41,St Thomas Joe Sweeney Invitational,"May 3, 2023"
42,Meet of the UnSaintly,"May 5, 2023"
43,Holst Invitational,"Apr 22, 2023"
44,Carleton Meet of the Hearts,"Feb 11, 2023"
45,Vanessa Seljeskog Classic,"Jan 21, 2023"
46,Gopher Classic,"Feb 4, 2023"
47,MIAC Indoor Multi Championships,"Feb 23, 2023"
48,St. Olaf Invitational,"Jan 28, 2023"
49,St. Thomas Indoor Invitational,"Jan 13, 2023"
50,Snowshoe Open,"Feb 17, 2023"
51,Wartburg Qualifier,"Mar 3, 2023"
52,Stout Quad,"Feb 10, 2023"
53,MIAC Outdoor Championships,"May 13, 2022"
54,Meet of the UnSaintly,"May 6, 2022"
55,Holst Invitational,"Apr 22, 2022"
56,UW-La Crosse Final Qualifier,"May 19, 2022"
57,Ross and Sharon Irwin Meet,"Mar 19, 2022"
58,St. Thomas Tom Cat Invitational,"Apr 13, 2022"
59,Hamline Invitational,"Apr 2, 2022"
60,MIAC Indoor Championships,"Feb 24, 2022"
61,Carleton Meet of Hearts,"Feb 12, 2022"
62,Gopher Classic,"Feb 5, 2022"
63,Snowshoe Open,"Feb 18, 2022"
64,Vanessa Seljeskog Classic,"Jan 22, 2022"
65,Minnesota Open,"Jan 8, 2022"
66,2021 MIAC Outdoor Track & Field Championships,"May 14, 2021"
67,University of St. Thomas Tomcat Invitational,"Apr 30, 2021"
68,Saint John's Last Minute Meet,"Apr 10, 2021"
69,Holst Invitational,"Apr 17, 2021"
70,St. Thomas Tommie Twilight,"May 5, 2021"
71,Hamline Easter Eve Invite,"Apr 3, 2021"
72,Hamline Showcase,"Apr 23, 2021"
73,Drake Relays,"Apr 22, 2021"
74,COVID Classic,"Mar 6, 2021"
75,CSB/SJU Tri Meet #2,"Feb 13, 2021"
76,"Bethel, St.Johns/St. Bens, Augsburg","Feb 20, 2021"
77,St. Thomas vrs. Augsburg Dual Meet,"Feb 5, 2021"
78,The Kelly Family Meet of the Hearts,"Feb 15, 2020"
79,Minnesota Cold Classic,"Feb 21, 2020"
80,MIAC Indoor Track & Field Championsihps,"Feb 27, 2020"
81,Hamster Invitational,"Feb 7, 2020"
82,The Showcase,"Feb 14, 2020"
83,Bethel Gene Glader Invitational,"Feb 1, 2020"
84,Meet of The UnSaintly,"May 3, 2019"
85,Bolstorff Twilight,"Apr 25, 2019"
86,Whittier Twilight,"Apr 5, 2019"
87,Minnesota Men's Twilight,"May 1, 2019"
88,2019 Pomona-Pitzer Invitational (College/Univ),"Apr 6, 2019"
89,Tomcat Twilight,"Apr 18, 2019"
90,MIAC Outdoor Track & Field Championships,"May 10, 2019"
91,Hamline Coed Invitational,"Apr 6, 2019"
92,Phil Esten Challenge @ UW-La Crosse,"Apr 18, 2019"
93,Carleton Meet of the Hearts,"Feb 9, 2019"
94,Snowshoe Open,"Feb 15, 2019"
95,MIAC Championships,"Feb 21, 2019"
96,Bethel Gene Glader Classic,"Feb 2, 2019"
97,St. Olaf Tostrud Classic,"Feb 16, 2019"
98,Warren Bowlus,"Jan 25, 2019"
99,St. Thomas Invitational,"Jan 18, 2019"
100,MIAC Championships,"May 11, 2018"
101,Meet of the UnSainlty,"May 4, 2018"
102,Bryan Clay Invitational,"Apr 19, 2018"
103,NCAA Division III Outdoor Track & Field Championships,"May 24, 2018"
104,Drake Alternative - Gustavus,"Apr 28, 2018"
105,2018 Ross and Sharon Irwin Invite,"Mar 17, 2018"
106,Tomcat Twilight,"Apr 12, 2018"
107,Cobber Snow-nami Open,"Apr 21, 2018"
108,Beach Invitational,"Apr 20, 2018"
109,SBCC Easter Open,"Apr 13, 2018"
110,Snowshoe Open,"Feb 16, 2018"
111,MIAC Indoor Championships,"Feb 22, 2018"
112,NCAA Division III Indoor Track & Field Championships,"Mar 9, 2018"
113,Bethel Gene Glader Invitational,"Feb 3, 2018"
114,Vanessa Seljeskog Classic,"Jan 19, 2018"
115,CSB-SJU Indoor Invitational,"Feb 10, 2018"
116,St. Olaf Men's Tostrud Classic,"Feb 17, 2018"
117,Warren Bowlus Invite,"Jan 27, 2018"
118,NCAA Division III Outdoor Track & Field Championships,"May 25, 2017"
119,Holst Invitational,"Apr 22, 2017"
120,MIAC Outdoor Track & Field Championships,"May 12, 2017"
121,UW La Crosse Final Qualifier,"May 18, 2017"
122,Redlands Invite (Colleges),"Mar 17, 2017"
123,Meet of the UnSaintly,"May 5, 2017"
124,Hamline Invitational,"Apr 1, 2017"
125,CSB-SJU Outdoor Invitational & Multis,"Apr 8, 2017"
126,Tomcat Twilight,"Apr 13, 2017"
127,Drake Alternative,"Apr 29, 2017"
128,Bryan Clay Invite,"Apr 13, 2017"
129,St. Mary's Open,"Apr 29, 2017"
130,2017 Pomona-Pitzer T&F Invite,"Apr 8, 2017"
131,MIAC Indoor Championships,"Feb 23, 2017"
132,Snowshoe Open,"Feb 17, 2017"
133,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2017"
134,Warren Bowlus Multi & Open,"Jan 27, 2017"
135,Kilt Classic,"Jan 20, 2017"
136,CSB-SJU February Invite,"Feb 11, 2017"
137,42nd Annual Frank Sevigne Husker Invitational,"Feb 3, 2017"
138,St. Olaf Men's Tostrud Classic,"Feb 18, 2017"
139,The Opener,"Dec 2, 2016"
140,Bethel Gene Glader Invitational,"Feb 4, 2017"
141,Pointer Final Qualifier,"Mar 4, 2017"
142,NCAA Division III Outdoor Track & Field Championships,"May 26, 2016"
143,Meet of the UnSaintly,"May 7, 2016"
144,USF Bulls Invitational,"Mar 17, 2016"
145,UW-La Crosse NCAA Qualifier,"May 19, 2016"
146,MIAC Outdoor Championships,"May 13, 2016"
147,Holst Invitational,"Apr 16, 2016"
148,MIAC Multis,"May 5, 2016"
149,Carleton Relays,"Apr 23, 2016"
150,St. Mary University Open,"Apr 30, 2016"
151,Hamline Invitational,"Apr 3, 2016"
152,Ashton May Invitational @ UW-La Crosse,"Apr 9, 2016"
153,Mt. SAC Relays,"Apr 14, 2016"
154,Bryan Clay Invitational,"Apr 14, 2016"
155,MIAC Indoor Championships,"Mar 3, 2016"
156,Carleton Meet of Hearts,"Feb 13, 2016"
157,MIAC Indoor Multis,"Mar 3, 2016"
158,NCAA Division III Indoor Track & Field Championships,"Mar 11, 2016"
159,Kilt Classic,"Feb 26, 2016"
160,The Opener,"Dec 4, 2015"
161,Snowshoe Open,"Feb 19, 2016"
162,Macalester College Alumni Triangular,"Jan 23, 2016"
163,Warren Bowlus Multi & Open,"Jan 29, 2016"
164,Bethel Gene Glader Invitational,"Feb 6, 2016"
165,St. Olaf Tostrud Classic,"Feb 20, 2016"
166,Golden Bear Twilight,"Apr 29, 2015"
167,MIAC Outdoor Track & Field Championships,"May 8, 2015"
168,Meet of the UnSaintly,"May 1, 2015"
169,Holst Invitational,"Apr 18, 2015"
170,Hamline Invitational,"Apr 11, 2015"
171,Cactus Cup,"Mar 21, 2015"
172,Bolstorff Twilight,"Apr 23, 2015"
173,MIAC Multis,"Apr 30, 2015"
174,UW-La Crosse Ashton May Invite,"Apr 3, 2015"
175,UW-La Crosse Qualifier,"May 15, 2015"
176,2015 Drake Relays presented by Hy-Vee,"Apr 22, 2015"
177,Tom Cat Twilight,"Apr 16, 2015"
178,Falcon Winter Classic,"Jan 31, 2015"
179,MIAC Indoor Championships,"Mar 5, 2015"
180,Snowshoe Open,"Feb 20, 2015"
181,Kilt Classic,"Feb 27, 2015"
182,The Showcase,"Feb 13, 2015"
183,Bethel University Gene Glader Invitational,"Feb 7, 2015"
184,Macalester College Alumni Triangular,"Jan 24, 2015"
185,St. Olaf Tostrud Classic,"Feb 21, 2015"
186,MIAC Heptathlon,"Mar 5, 2015"
187,St. Olaf Quad,"Jan 30, 2015"
188,NCAA Division III Indoor Track & Field Championships,"Mar 8, 2024"
189,NCAA Division III Indoor Track & Field Championships,"Mar 10, 2023"
190,Minnesota Open,"Jan 11, 2020"
191,Jack Johnson Classic,"Jan 31, 2020"
192,St. Olaf Ole Women's Invitational,"Feb 21, 2020"
193,Minnesota Women's Twilight,"Apr 24, 2019"
194,St. Olaf Manitou Classic,"Apr 18, 2019"
195,Beach Invitational,"Apr 19, 2019"
196,Tommie Twilight,"May 1, 2019"
197,Parent's Day Open,"Feb 16, 2019"
198,NCAA Division III Indoor Track & Field Championships,"Mar 8, 2019"
199,Hamline Women's Twilight,"Apr 11, 2018"
200,Pointer Final Qualifier,"Mar 3, 2018"
201,Parent's Day Invitational,"Feb 17, 2018"
202,Mt. SAC Relays,"Apr 13, 2017"
203,Hamline Womens Twilight,"Apr 12, 2017"
204,Parents Day Open,"Feb 18, 2017"
205,Phil Esten Challenge,"Apr 21, 2016"
206,Parents Day Open,"Feb 20, 2016"
207,Tommie Twilight,"Apr 29, 2015"
208,Janis Rider Invitational,"Apr 25, 2015"
209,Hamline Womens Twilight,"Apr 22, 2015"
210,Parents Day Open,"Feb 21, 2015"
211,NCAA Division III Outdoor Track & Field Championships,"May 22, 2025"
212,MIAC Multi Events,"May 1, 2025"
213,UWL Final Qualifier,"May 14, 2025"
214,Drake Relays,"Apr 23, 2025"
215,CSB/SJU Easter Track Meet,"Apr 17, 2025"
216,2025 USATF Indoor Championships,"Feb 22, 2025"
217,Warren Bowlus Open & Multi,"Jan 31, 2025"
218,UW-La Crosse Mark Guthrie Legacy Invitational,"Feb 8, 2025"
219,Gene Glader Classic,"Feb 22, 2025"
220,Stout Quad,"Feb 14, 2025"
221,La Crosse Final Qualifier,"Mar 8, 2025"
222,St. Olaf Tostrud Classic,"Feb 21, 2025"
223,Bethel Invitational,"Apr 13, 2024"
224,114th Drake Relays,"Apr 24, 2024"
225,NCAA Division III Outdoor Track & Field Championships,"May 22, 2024"
226,Redlands Invitational,"Mar 15, 2024"
227,CSB/SJU Invitational & Mutli,"Apr 19, 2024"
228,MIAC Multi Event Championships,"May 2, 2024"
229,Mark Guthrie Legacy Invite,"Feb 3, 2024"
230,M City Indoor Classsic,"Dec 8, 2023"
231,UWL Final Qualifier,"Mar 2, 2024"
232,Gene Glader Classic,"Feb 17, 2024"
233,Stout Open,"Feb 9, 2024"
234,SDSU Indoor Classic,"Feb 9, 2024"
235,Augustana College Midwest Twilight Qualifier,"May 18, 2023"
236,Drake Relays,"Apr 26, 2023"
237,Bethel Invitational,"Apr 15, 2023"
238,MIAC Combined Events,"May 4, 2023"
239,NCAA Division III Outdoor Track & Field Championships,"May 25, 2023"
240,Phil Esten Challenge,"Apr 21, 2023"
241,UWL Indoor Eagle Open,"Feb 17, 2023"
242,Mark Guthrie Legacy Invitational,"Feb 4, 2023"
243,Gene Glader Classic,"Feb 18, 2023"
244,NCAA Division III Outdoor Track & Field Championships,"May 26, 2022"
245,UWRF Falcon Invitational,"Apr 9, 2022"
246,MIAC Multi Events,"May 5, 2022"
247,Alan Connie Shamrock Invitational,"Mar 17, 2022"
248,Drake Alternative,"Apr 30, 2022"
249,Drake Relays,"Apr 27, 2022"
250,St Thomas Tommie Twilight,"May 4, 2022"
251,Phil Esten Challenge,"Apr 21, 2022"
252,Augustana College Twilight Qualifier,"May 19, 2022"
253,2022 Kip Janvrin Open,"Apr 28, 2022"
254,Gene Glader Classic,"Feb 5, 2022"
255,St. Olaf Quad and Multi Events,"Jan 28, 2022"
256,Stout Quad,"Feb 11, 2022"
257,NCAA Division III Indoor Track & Field Championships,"Mar 11, 2022"
258,Wartburg Qualifier,"Mar 4, 2022"
259,Kent Stahly Invitational,"Apr 17, 2021"
260,Falcon Invite,"Apr 10, 2021"
261,Saint John's 4th Weekly Invitational,"Apr 17, 2021"
262,CSB / SJU Outdoor Easter Meet,"Apr 2, 2021"
263,MIAC Multi Events,"May 6, 2021"
264,NCAA Division III Outdoor Track & Field Championships,"May 27, 2021"
265,NCAA Final Qualifier @ UW-La Crosse,"May 19, 2021"
266,Bethel vrs. Gustavus Dual Meet,"Feb 6, 2021"
267,Bethel vrs. Hamline and St. Kates,"Feb 27, 2021"
268,Bethel vs. Hamline Dual Meet,"Jan 23, 2021"
269,2021 Division III Elite Indoor Championships,"Mar 12, 2021"
270,St. Olaf Quad,"Jan 24, 2020"
271,Wartburg Qualifier,"Mar 6, 2020"
272,St. Olaf Men's Tostrud Classic,"Feb 22, 2020"
273,Darren Young Classic,"Feb 15, 2020"
274,NCAA Final Qualifier at UW-La Crosse,"May 16, 2019"
275,Augustana Womens Invitational / Meet of Champions,"Apr 18, 2019"
276,Gustavus Alternative,"Apr 26, 2019"
277,PLNU Track and Field Invitational,"Mar 23, 2019"
278,NCAA Division III Outdoor Track & Field Championships,"May 23, 2019"
279,Drake Relays presented by Hy-Vee,"Apr 24, 2019"
280,Grand View Invitational,"Mar 23, 2019"
281,2019 Kip Janvrin Open,"Apr 25, 2019"
282,St. Olaf Quad,"Jan 25, 2019"
283,2019 Darren Young Indoor Invitational,"Feb 9, 2019"
284,Vanessa Seljeskog Classic,"Jan 18, 2019"
285,Wartburg Qualifier,"Mar 1, 2019"
286,MIAC Multi Events,"May 3, 2018"
287,Augustana Meet of Champions & Women's Invitational,"Apr 20, 2018"
288,UW La Crosse Final Qualifier,"May 17, 2018"
289,2018 Drake Relays presented by Hy-Vee,"Apr 25, 2018"
290,Bolstorff Twilight,"Apr 26, 2018"
291,St. Olaf Quad,"Jan 26, 2018"
292,2018 Darren Young Indoor Classic,"Feb 10, 2018"
293,St. Thomas Season Opener,"Jan 12, 2018"
294,Wartburg Qualifier,"Mar 2, 2018"
295,The Showcase,"Feb 9, 2018"
296,Ross and Sharon Irwin Collegiate Invitational,"Mar 18, 2017"
297,Carleton Relays,"Apr 22, 2017"
298,2017 Kip Janvrin Open,"Apr 27, 2017"
299,CSB-SJU Outdoor Multis,"Apr 8, 2017"
300,Phil Esten Challenge,"Apr 20, 2017"
301,MIAC Outdoor Multis,"May 4, 2017"
302,Bolstroff Twilight Meet,"Apr 27, 2017"
303,2017 Drake Relays presented by Hy-Vee,"Apr 26, 2017"
304,2017 Viking Classic,"Apr 28, 2017"
305,St. Olaf Quad,"Jan 27, 2017"
306,2017 Darren Young Classic,"Feb 11, 2017"
307,Wartburg Qualifier,"Mar 3, 2017"
308,The Showcase,"Feb 10, 2017"
309,Macalester Bolstorff Twilight Meet,"Apr 28, 2016"
310,2016 Wheaton Don Church Twilight,"Apr 16, 2016"
311,2016 Drake Relays presented by Hy-Vee,"Apr 27, 2016"
312,UST Invite,"Jan 22, 2016"
313,St. Olaf Invitational,"Jan 29, 2016"
314,Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
315,"""Big Dog"" Invite","Feb 20, 2016"
316,Ross & Sharon Irwin Collegiate Scoring Meet,"Mar 21, 2015"
317,2015 Don Church Invitational,"Apr 18, 2015"
318,Carleton Relays,"Apr 18, 2015"
319,2015 Grinnell Darren Young Indoor Classic,"Feb 14, 2015"
320,St. Thomas Invite,"Jan 23, 2015"
321,Bethel University Open,"Jan 10, 2015"
322,St. Olaf Ole Qualifier,"Feb 27, 2015"
323,Wartburg Qualifier,"Mar 7, 2025"
324,Tommie Twilight,"May 2, 2018"
325,MSU Open & Multi,"Jan 26, 2018"
326,Bear Cat Twilight,"May 3, 2017"
327,Janis Rider Meet,"Apr 29, 2017"
